epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,1495.84,1.84746,3.27883,1.26748,1.42281,0,0.46048,0.32171,0.32045,0.12848,0.42165,0.29457,0.29022,0.09756,2.23138,3.88244,1.62176,1.73277,0,0.0012872,0.0012872,0.0012872
74,1516.65,1.88404,3.21327,1.24329,1.41529,0,0.32616,0.34109,0.31163,0.12298,0.28896,0.3062,0.26538,0.09049,2.22704,3.9059,1.61898,1.72222,0,0.0012773,0.0012773,0.0012773
75,1530.67,1.83138,3.12234,1.18743,1.39028,0,0.32842,0.39922,0.30077,0.10586,0.30668,0.37209,0.2688,0.07891,2.27609,3.91144,1.60564,1.74585,0,0.0012674,0.0012674,0.0012674
76,1546.26,1.82196,3.17984,1.24974,1.43401,0,0.37976,0.32558,0.30626,0.11389,0.29279,0.34496,0.25693,0.0816,2.2372,3.89532,1.60082,1.72239,0,0.0012575,0.0012575,0.0012575
77,1564.15,1.83311,3.203,1.18268,1.38866,0,0.3594,0.39922,0.32067,0.11157,0.35744,0.34496,0.28642,0.08388,2.24379,3.89733,1.62634,1.7286,0,0.0012476,0.0012476,0.0012476
78,1579.72,1.84781,3.29853,1.29673,1.45403,0,0.35742,0.36866,0.30653,0.10797,0.33057,0.31783,0.25595,0.08314,2.22257,3.78195,1.58925,1.71325,0,0.0012377,0.0012377,0.0012377
79,1596.9,1.79243,3.14491,1.17677,1.35949,0,0.38644,0.41085,0.3245,0.11755,0.31768,0.36434,0.27446,0.08858,2.26916,3.83841,1.58536,1.7304,0,0.0012278,0.0012278,0.0012278
80,1614.43,1.88184,3.28921,1.25268,1.43816,0,0.35864,0.36822,0.30046,0.10784,0.32281,0.32558,0.26286,0.08299,2.3165,3.94187,1.65177,1.75104,0,0.0012179,0.0012179,0.0012179
81,1641.27,1.82965,3.20903,1.21786,1.4223,0,0.37478,0.35659,0.30029,0.11448,0.35873,0.33721,0.26951,0.09018,2.26773,3.92936,1.64943,1.69849,0,0.001208,0.001208,0.001208
82,1656.01,1.78222,3.11775,1.17354,1.37091,0,0.36464,0.34496,0.27037,0.10774,0.36164,0.32937,0.25318,0.08441,2.24784,3.89467,1.67505,1.67666,0,0.0011981,0.0011981,0.0011981
83,1669.76,1.77623,3.16362,1.21,1.37657,0,0.41351,0.35271,0.29738,0.11626,0.38678,0.33721,0.2747,0.08712,2.25339,3.83059,1.65588,1.70274,0,0.0011882,0.0011882,0.0011882
84,1685.51,1.80368,3.16803,1.16864,1.37575,0,0.3533,0.41085,0.29766,0.11655,0.30499,0.41085,0.27906,0.08599,2.23871,3.79401,1.64283,1.72677,0,0.0011783,0.0011783,0.0011783
85,1698.69,1.7971,3.13238,1.15755,1.3906,0,0.36996,0.36415,0.30628,0.11621,0.33484,0.39535,0.28565,0.08519,2.25818,3.84442,1.58399,1.73042,0,0.0011684,0.0011684,0.0011684
86,1712.24,1.80609,3.11129,1.23243,1.40842,0,0.39356,0.3773,0.30872,0.11008,0.35982,0.34496,0.27483,0.08301,2.26985,3.86274,1.61085,1.7253,0,0.0011585,0.0011585,0.0011585
87,1726.64,1.86154,3.19994,1.19792,1.39125,0,0.37634,0.40697,0.31974,0.11872,0.35305,0.37209,0.29935,0.09035,2.19537,3.747,1.65787,1.6866,0,0.0011486,0.0011486,0.0011486
88,1740.85,1.76935,3.09224,1.16527,1.34963,0,0.41514,0.34109,0.32913,0.12601,0.39419,0.32534,0.30552,0.09854,2.18056,3.76226,1.58688,1.68718,0,0.0011387,0.0011387,0.0011387
89,1754.76,1.81685,3.18341,1.18282,1.39056,0,0.39061,0.3354,0.30398,0.11885,0.45435,0.26744,0.27507,0.09022,2.20906,3.87834,1.60096,1.71674,0,0.0011288,0.0011288,0.0011288
