epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,859.232,2.32534,4.00712,1.70986,1.58036,0,0.312,0.29787,0.23893,0.09953,0.33404,0.26596,0.22228,0.06704,2.36699,4.0651,1.84157,1.92166,0,0.0016238,0.0016238,0.0016238
97,867.262,2.28946,3.91588,1.71567,1.5664,0,0.34771,0.2234,0.25174,0.11061,0.34771,0.2234,0.2315,0.08194,2.43753,4.01765,1.85749,2.01755,0,0.00161984,0.00161984,0.00161984
98,875.27,2.22913,3.77298,1.6676,1.53006,0,0.39645,0.21277,0.25289,0.10122,0.43851,0.18085,0.22379,0.07579,2.42645,3.9893,1.88031,1.99064,0,0.00161588,0.00161588,0.00161588
99,883.34,2.24085,3.81635,1.69162,1.58947,0,0.40539,0.30851,0.3148,0.10759,0.4281,0.28723,0.28206,0.07662,2.34089,4.00754,1.87048,1.84052,0,0.00161192,0.00161192,0.00161192
100,891.355,2.28447,3.88441,1.62198,1.51748,0,0.34073,0.35106,0.28868,0.09441,0.30515,0.32979,0.23692,0.06666,2.30456,4.05848,1.87739,1.81399,0,0.00160796,0.00160796,0.00160796
101,899.665,2.34081,3.96254,1.60099,1.52294,0,0.46209,0.29787,0.31203,0.11777,0.42603,0.2766,0.27169,0.08321,2.23979,4.02306,1.81108,1.81191,0,0.001604,0.001604,0.001604
102,907.755,2.23835,3.85637,1.61732,1.55443,0,0.46209,0.29787,0.31203,0.11777,0.42603,0.2766,0.27169,0.08321,2.23979,4.02306,1.81108,1.81191,0,0.00160004,0.00160004,0.00160004
103,916.225,2.26667,3.86253,1.56996,1.52858,0,0.50768,0.35106,0.36523,0.15131,0.53591,0.35106,0.35329,0.10798,2.18031,3.97133,1.72502,1.8405,0,0.00159608,0.00159608,0.00159608
104,924.888,2.31952,3.91872,1.64783,1.55774,0,0.48674,0.32979,0.33267,0.13107,0.47104,0.31915,0.31395,0.10151,2.32631,3.97179,1.78881,1.94584,0,0.00159212,0.00159212,0.00159212
105,934.524,2.29551,3.94596,1.67316,1.57015,0,0.40652,0.34252,0.30161,0.11938,0.48991,0.29633,0.27843,0.09378,2.38046,3.99288,1.80716,1.95262,0,0.00158816,0.00158816,0.00158816
106,942.862,2.26918,3.81354,1.62729,1.51817,0,0.33244,0.32979,0.26961,0.118,0.33244,0.32979,0.25313,0.08591,2.37433,4.03888,1.84236,1.90588,0,0.0015842,0.0015842,0.0015842
107,950.869,2.19333,3.75829,1.54593,1.48757,0,0.4676,0.29901,0.32887,0.1233,0.45768,0.2963,0.29114,0.09002,2.35194,4.06184,1.84609,1.85927,0,0.00158024,0.00158024,0.00158024
108,959.034,2.28641,3.95653,1.64356,1.52812,0,0.39399,0.39362,0.31924,0.11638,0.3917,0.37234,0.29115,0.08549,2.2666,4.11085,1.80947,1.76907,0,0.00157628,0.00157628,0.00157628
109,967.601,2.25226,3.80563,1.59055,1.48533,0,0.35236,0.35106,0.31513,0.10374,0.38642,0.29482,0.26364,0.07811,2.31647,4.12296,1.798,1.79152,0,0.00157232,0.00157232,0.00157232
110,976.748,2.28547,3.91965,1.54807,1.48541,0,0.31237,0.3617,0.29294,0.09943,0.26038,0.31915,0.21214,0.07143,2.28803,4.19984,1.84331,1.79573,0,0.00156836,0.00156836,0.00156836
111,985.293,2.27869,3.91327,1.60478,1.52116,0,0.36959,0.28723,0.27212,0.1119,0.41955,0.26596,0.24226,0.07867,2.26281,4.18128,1.86013,1.85073,0,0.0015644,0.0015644,0.0015644
112,994.291,2.30368,3.87631,1.59421,1.496,0,0.52994,0.2766,0.33286,0.13612,0.52307,0.26596,0.29257,0.10221,2.3488,4.04082,1.77842,1.93191,0,0.00156044,0.00156044,0.00156044
113,1002.87,2.22763,3.93834,1.58972,1.51529,0,0.52994,0.2766,0.33286,0.13612,0.52307,0.26596,0.29257,0.10221,2.3488,4.04082,1.77842,1.93191,0,0.00155648,0.00155648,0.00155648
114,1011.88,2.2345,3.86162,1.53564,1.48728,0,0.53641,0.34043,0.3741,0.1484,0.58459,0.34437,0.35381,0.11266,2.35692,3.95773,1.79197,1.93947,0,0.00155252,0.00155252,0.00155252
115,1020.73,2.13711,3.75491,1.53692,1.50106,0,0.5234,0.32979,0.3773,0.15059,0.5234,0.32979,0.37071,0.11854,2.21499,3.90608,1.83193,1.83249,0,0.00154856,0.00154856,0.00154856
116,1029.59,2.233,3.8352,1.50486,1.49932,0,0.40707,0.38298,0.36035,0.14957,0.43248,0.34043,0.3543,0.12709,2.1727,3.9075,1.82456,1.79586,0,0.0015446,0.0015446,0.0015446
